"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","phylum","class","order","family","genus","cx_int_no"
"937817","occ","39830","","108344","Avimimus portentosus","species","55489","","Avimimus portentosus","species","55489","Maastrichtian","","72.2","66","82280","102.669724","44.071945","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Avimimus","112"
"937963","occ","","","65344","Udanoceratops tschizhovi n. gen. n. sp.","species","66585","","Udanoceratops tschizhovi","species","66585","Late Campanian","","83.6","72.2","13879","102.166664","42.083332","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Leptoceratopsidae","Udanoceratops","113"
"939304","occ","","","55536","Huoshanornis huji n. gen. n. sp.","species","184223","","Huoshanornis huji","species","184223","Aptian","","121.4","113.2","35968","120.175301","41.423901","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Huoshanornis","119"
"939383","occ","","","24883","Abrosaurus dongpoensis n. gen. n. sp.","species","184288","","Abrosaurus dongpoensis","species","184288","Bajocian","Oxfordian","170.9","154.8","35971","104.852501","29.411388","Chordata","Saurischia","NO_ORDER_SPECIFIED","Mamenchisauridae","Abrosaurus","15"
"941813","occ","","","109015","Drusilasaura deseadensis n. gen. n. sp.","species","184916","","Drusilasaura deseadensis","species","184916","Late Cenomanian","Middle Turonian","100.5","89.8","36033","-69.665276","-46.718056","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Drusilasaura","39"
"942245","occ","","","67434","Manidens condorensis n. gen. n. sp.","species","185175","","Manidens condorensis","species","185175","Middle Toarcian","Late Toarcian","182.9","174.7","36107","-69.230553","-43.409168","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Heterodontosauridae","Manidens","131"
"942344","occ","37660","","109131","Bagualia alba n. gen. n. sp.","species","428863","","Bagualia alba","species","428863","Middle Toarcian","","182.9","180.4","74383","-69.183334","-43.450001","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Bagualia","131"
"942451","occ","","","61891","Kileskus aristotocus n. gen. n. sp.","species","185193","","Kileskus aristotocus","species","185193","Bathonian","","168.2","165.3","36119","89.183334","55.650002","Chordata","Saurischia","NO_ORDER_SPECIFIED","Proceratosauridae","Kileskus","128"
"942994","occ","","","109245","Camptodontus yangi n. gen. n. sp.","species","185386","recombined as","Camptodontornis yangi","species","185386","Aptian","","121.4","113.2","36151","120.175301","41.423901","Chordata","Saurischia","NO_ORDER_SPECIFIED","Longipterygidae","Camptodontornis","119"
"946471","occ","","","110073","Gallus gallus","species","368033","","Gallus gallus","species","321675","Holocene","","0.0117","0","36280","-157.158890","21.199167","Chordata","Saurischia","Galliformes","Phasianidae","Gallus","32"
"947583","occ","","","62293","Qiliania graffini n. gen. n. sp.","species","186992","","Qiliania graffini","species","186992","Aptian","","121.4","113.2","36365","96.766670","39.866669","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Qiliania","119"
"950129","occ","24907","","26370","Titanosaurus blanfordi n. sp.","species","64310","","Titanosaurus blanfordi","species","64310","Maastrichtian","","72.2","66","17139","79.051941","20.350834","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Titanosaurus","112"
"960235","occ","","F","26369","Megaloolithus cf. siruguei","species","67202","","Megaloolithus siruguei","species","67202","Late Maastrichtian","","72.2","66","37256","22.930000","45.580002","Chordata","Saurischia","NO_ORDER_SPECIFIED","Megaloolithidae","Megaloolithus","112"
"962978","occ","","","113009","Alioramus altai n. sp.","species","176782","","Alioramus remotus","species","57259","Maastrichtian","","72.2","66","36719","100.386108","43.469444","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Alioramus","112"
"962990","occ","40404","F","113012","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Late Campanian","Early Maastrichtian","83.6","66","83634","-2.083330","40.283329","Chordata","Saurischia","NO_ORDER_SPECIFIED","Megaloolithidae","Megaloolithus","39"
"962992","occ","","F","113013","Megaloolithus trempii n. sp.","species","192240","","Fusioolithus baghensis","species","81824","Late Campanian","","83.6","72.2","36723","-0.900000","42.166668","Chordata","Reptilia","NO_ORDER_SPECIFIED","Fusioolithidae","Fusioolithus","113"
"962993","occ","","F","36731","Megaloolithus trempii","species","192240","","Fusioolithus baghensis","species","81824","Early Maastrichtian","","72.2","66","36723","0.955962","42.161762","Chordata","Reptilia","NO_ORDER_SPECIFIED","Fusioolithidae","Fusioolithus","112"
"962994","occ","","F","36380","Megaloolithus trempii","species","192240","","Fusioolithus baghensis","species","81824","Early Maastrichtian","","72.2","66","36723","0.973056","42.159443","Chordata","Reptilia","NO_ORDER_SPECIFIED","Fusioolithidae","Fusioolithus","112"
"963173","occ","","","24883","Protognathus oxyodon n. gen. n. sp.","species","65678","recombined as","Protognathosaurus oxyodon","species","65678","Bajocian","Oxfordian","170.9","154.8","28526","104.852501","29.411388","Chordata","Saurischia","NO_ORDER_SPECIFIED","Cetiosauridae","Protognathosaurus","15"
"963745","occ","","","113294","cf. Rhabdodon priscus","species","66745","","Rhabdodon priscus","species","96110","Early Maastrichtian","","72.2","66","36767","2.259428","42.929893","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Rhabdodontidae","Rhabdodon","112"
