"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","parent_name","reference_no","is_extant","n_occs","firstapp_max_ma","firstapp_min_ma","lastapp_max_ma","lastapp_min_ma","early_interval","late_interval","taxon_size","extant_size","phylum","class","order","family","genus","type_taxon"
"105582","105582","txn","","","Palaealectoris incertus","","105582","species","Palaealectoris incertus","105580","Palaealectoris","25082","extinct","1","23.1","18.5","23.1","18.5","Chattian","Burdigalian","1","0","Chordata","Saurischia","Galliformes","Tetraonidae","Palaealectoris",""
"348596","348596","txn","","","Paraortyx lorteti","","348596","species","Paraortyx lorteti","191563","Paraortyx","6044","extinct","1","33.9","27.3","33.9","27.3","Rupelian","","1","0","Chordata","Saurischia","Galliformes","","Paraortyx",""
"191564","191564","txn","","","Paraortyx brancoi","","191564","species","Paraortyx brancoi","191563","Paraortyx","6044","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","","Paraortyx",""
"105788","105788","txn","","","Procrax brevipes","","105788","species","Procrax brevipes","39334","Procrax","25112","extinct","1","37","33.9","37","33.9","Priabonian","","1","0","Chordata","Saurischia","Galliformes","","Procrax",""
"378479","378479","txn","","","Sobniogallus albinojamrozi","","378479","species","Sobniogallus albinojamrozi","378478","Sobniogallus","67263","extinct","1","33.9","27.3","33.9","27.3","Rupelian","","1","0","Chordata","Saurischia","Galliformes","","Sobniogallus",""
"140086","140088","txn","","","Palintropus retusus","","140086","species","Palintropus retusus","36625","Palintropus","29037","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","Quercymegapodiidae","Palintropus",""
"429949","429949","txn","","","Ameripodius alexis","","429949","species","Ameripodius alexis","429948","Ameripodius","58139","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","Quercymegapodiidae","Ameripodius",""
"370447","429947","txn","","","Quercymegapodius depereti","","370447","species","Quercymegapodius depereti","429946","Quercymegapodius","6044","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","Quercymegapodiidae","Quercymegapodius",""
"276915","276915","txn","","","Argillipes paralectoris","","276915","species","Argillipes paralectoris","276914","Argillipes","74648","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","","Argillipes",""
"276916","276916","txn","","","Argillipes aurorum","","276916","species","Argillipes aurorum","276914","Argillipes","74648","extinct","2","56","48.07","56","48.07","Ypresian","","1","0","Chordata","Saurischia","Galliformes","","Argillipes",""
